ID	scientificName	authorship	rank	genus	specificEpithet	infraspecificEpithet	publishedInID	publishedInPage	code	status	link
67	Cycas beddomei	Dyer	species				67		botanical		
68	Cycas bellefontii	L.Linden & Rodigas	species				68		botanical	doubtful	
69	Cycas bifida	(Dyer) K.D.Hill	species				69		botanical		
571	Cycas bifida x C. dolichophylla		species				571		botanical		
570	Cycas bifida x C. multipinnata		species				570		botanical		
70	Cycas bougainvilleana	K.D.Hill	species				70		botanical		
71	Cycas brachycantha	K.D.Hill, T.H.Nguyên & P.K.Lôc	species				71		botanical		
72	Cycas brevipinnata	Hung T.Chang, Y.Y.Huang & Y.C.Zhong	species				72		botanical		
73	Cycas brunnea	K.D.Hill	species				73		botanical		
74	Cycas caffra	Thunb.	species				74		botanical		
75	Cycas cairnsiana	F.Muell.	species				75		botanical		
76	Cycas calcicola	Maconochie	species				76		botanical		
77	Cycas campestris	K.D.Hill	species				77		botanical		
79	Cycas canalis	K.D.Hill	species				79		botanical		
683	Cycas canalis subsp. canalis		subsp.				683		botanical		
78	Cycas canalis subsp. carinata	K.D.Hill	subsp.				78		botanical		
80	Cycas candida	K.D.Hill	species				80		botanical		
81	Cycas cantafolia	Jutta, K.L.Chew & Saw	species				81		botanical		
82	Cycas celebica	Miq.	species				82		botanical		
83	Cycas chamaoensis	K.D.Hill	species				83		botanical		
84	Cycas chamberlainii	W.H.Br. & Kienholz	species				84		botanical		
85	Cycas changjiangensis	N.Liu	species				85		botanical		
665	Cycas chenii	X.Gong & Wei Zhou	species				665		botanical		
86	Cycas chevalieri	Leandri	species				86		botanical		
87	Cycas circinalis	L.	species				87		botanical		
684	Cycas circinalis f. circinalis		f.				684		botanical		
88	Cycas circinalis f. glauca	(Miq.) J.Schust.	f.				88		botanical		
89	Cycas circinalis f. gothanii	J.Schust.	f.				89		botanical	doubtful	
90	Cycas circinalis f. undulata	(Hort. ex Gaudich.) J.Schust.	f.				90		botanical		
685	Cycas circinalis subsp. circinalis		subsp.				685		botanical		
91	Cycas circinalis subsp. madagascariensis	(Miq.) J.Schust.	subsp.				91		botanical	illegitimate	
722	Cycas circinalis subsp. madagascariensis f. madagascariensis		f.				722		botanical	unavailable	
92	Cycas circinalis subsp. madagascariensis f. trigonocarpoides	(Miq.) J.Schust.	f.				92		botanical		
93	Cycas circinalis subsp. papuana	(F.Muell.) J.Schust.	subsp.				93		botanical		
723	Cycas circinalis subsp. papuana var. papuana		var.				723		botanical		
94	Cycas circinalis subsp. papuana var. scratchleyana	(F.Muell.) J.Schust.	var.				94		botanical		
95	Cycas circinalis subsp. riuminiana	(Porte ex Regel) J.Schust.	subsp.				95		botanical		
96	Cycas circinalis subsp. riuminiana var. curranii	(Porte ex Regel) J.Schust.	f.				96		botanical		
97	Cycas circinalis subsp. riuminiana var. curranii	(Porte ex Regel) J.Schust.	f.				97		botanical		
98	Cycas circinalis subsp. riuminiana var. curranii	(Porte ex Regel) J.Schust.	var.				98		botanical		
99	Cycas circinalis subsp. riuminiana var. curranii	(Porte ex Regel) J.Schust.	f.				99		botanical		
724	Cycas circinalis subsp. riuminiana var. riuminiana		var.				724		botanical		
100	Cycas circinalis subsp. seemannii	(Regalado) J.Schust.	subsp.				100		botanical		
101	Cycas circinalis subsp. thouarsii	(R.Br. ex Gaudich.) Engl.	subsp.				101		botanical		
726	Cycas circinalis subsp. vera	J.Schust.	subsp.				726		botanical		
102	Cycas circinalis subsp. vera var. beddomei	J.Schust.	var.				102		botanical		
103	Cycas circinalis subsp. vera var. pectinata	J.Schust.	var.				103		botanical		
725	Cycas circinalis subsp. vera var. vera		var.				725		botanical		
104	Cycas circinalis var. angustifolia	Miq.	var.				104		botanical		
686	Cycas circinalis var. circinalis		var.				686		botanical		
105	Cycas circinalis var. javana	Miq.	var.				105		botanical		
106	Cycas circinalis var. orixensis	Haines	var.				106		botanical		
107	Cycas clivicola	K.D.Hill	species				107		botanical		
687	Cycas clivicola subsp. clivicola		subsp.				687		botanical		
108	Cycas clivicola subsp. lutea	K.D.Hill	subsp.				108		botanical		
109	Cycas collina	K.D.Hill, T.H.Nguyên & P.K.Lôc	species				109		botanical		
797	Cycas comorensis	Bruant	species				797		botanical		
110	Cycas condaoensis	K.D.Hill & S.L.Yang	species				110		botanical		
111	Cycas conferta	Chirgwin ex Chirgwin & Wigston	species				111		botanical		
112	Cycas couttsiana	K.D.Hill	species				112		botanical		
113	Cycas crassipes	Hung T.Chang, Y.C.Zhong & Z.F.Lu	species				113		botanical		
114	Cycas cupida	P.I.Forst.	species				114		botanical		
115	Cycas curranii	(J.Schust.) K.D.Hill	species				115		botanical		
792	Cycas darshii	R.C.Srivast. & Jana	species				792		botanical	doubtful	
116	Cycas debaoensis	Y.C.Zhong & C.J.Chen	species				116		botanical		
117	Cycas desolata	P.I.Forst.	species				117		botanical		
812	Cycas dharmrajii	L.J.Singh	species				812		botanical		
118	Cycas diannanensis	Z.T.Guan & G.D.Tao	species				118		botanical		
820	Cycas distans	P.I.Forst. & B.Gray	species				820		botanical		
119	Cycas dolichophylla	K.D.Hill, T.H.Nguyên & P.K.Lôc	species				119		botanical		
120	Cycas edentata	de Laub.	species				120		botanical		
121	Cycas elephantipes	A.Lindstr. & K.D.Hill	species				121		botanical		
122	Cycas elongata	(Leandri) D.Yue Wang	species				122		botanical		
123	Cycas fairylakea	D.Yue Wang	species				123		botanical		
124	Cycas falcata	K.D.Hill	species				124		botanical		
125	Cycas ferruginea	F.N.Wei	species				125		botanical		
126	Cycas fugax	K.D.Hill, T.H.Nguyên & P.K.Lôc	species				126		botanical		
127	Cycas furfuracea	W.Fitzg.	species				127		botanical		
128	Cycas glauca	Hort. ex Miq.	species				128		botanical		
129	Cycas gracilis	Miq.	species				129		botanical		
132	Cycas gracilis	Y.Y.Huang, Y.C.Zhong & Z.F.Lu	species				132		botanical	illegitimate	
130	Cycas gracilis var. glauca	Regel	var.				130		botanical		
688	Cycas gracilis var. gracilis		var.				688		botanical		
131	Cycas gracilis var. viridis	Regel	var.				131		botanical		
133	Cycas guizhouensis	K.M.Lan & R.F.Zou	species				133		botanical		
134	Cycas hainanensis	C.J.Chen	species				134		botanical		
135	Cycas hainanensis subsp. changjiangensis	(N.Liu) N.Liu	subsp.				135		botanical		
689	Cycas hainanensis subsp. hainanensis		subsp.				689		botanical		
136	Cycas hoabinhensis	P.K.Lôc & T.H.Nguyên	species				136		botanical		
137	Cycas hongheensis	S.Y.Yang & S.L.Yang ex D.Yue Wang	species				137		botanical		
138	Cycas hypoleuca	C.Presl.	species				138		botanical	doubtful	
139	Cycas immersa	Craib	species				139		botanical		
140	Cycas indica	A.Lindstr. & K.D.Hill	species				140		botanical		
141	Cycas inermis	Lour.	species				141		botanical		
142	Cycas javana	(Miq.) de Laub.	species				142		botanical		
143	Cycas jenkinsiana	Griff.	species				143		botanical		
144	Cycas kennedyana	F.Muell.	species				144		botanical		
145	Cycas lacrimans	A.Lindstr. & K.D.Hill	species				145		botanical		
146	Cycas lane-poolei	C.A.Gardner	species				146		botanical		
653	Cycas laotica	Aver., T.H.Nguyên & S.K.Nguyên	species				653		botanical		
147	Cycas lindstromii	S.L.Yang, K.D.Hill & T.H.Nguyên	species				147		botanical		
148	Cycas lingshuiensis	G.A.Fu	species				148		botanical		
149	Cycas litoralis	K.D.Hill	species				149		botanical		
150	Cycas longiconifera	Hung T.Chang, Y.C.Zhong & Y.Y.Huang	species				150		botanical		
151	Cycas longipetiolula	D.Yue Wang	species				151		botanical		
152	Cycas longisporophylla	F.N.Wei	species				152		botanical		
153	Cycas longlinensis	Hung T.Chang & Y.C.Zhong	species				153		botanical		
154	Cycas maconochiei	Chirgwin & K.D.Hill	species				154		botanical		
155	Cycas maconochiei subsp. lanata	K.D.Hill	subsp.				155		botanical		
575	Cycas maconochiei subsp. maconochiei		subsp.				575		botanical		
156	Cycas maconochiei subsp. viridis	K.D.Hill	subsp.				156		botanical		
157	Cycas macrocarpa	Griff.	species				157		botanical		
158	Cycas madagascariensis	Miq.	species				158		botanical		
159	Cycas media	R.Br.	species				159		botanical		
160	Cycas media subsp. banksii	K.D.Hill	subsp.				160		botanical		
161	Cycas media subsp. ensata	K.D.Hill	subsp.				161		botanical		
576	Cycas media subsp. media		subsp.				576		botanical		
800	Cycas media var. basaltica	(C.A.Gardner) J.Schust.	var.				800		botanical		
801	Cycas media var. furfuracea	(W.Fitzg.) J.Schust.	var.				801		botanical		
798	Cycas media var. lanepoolei	(C.A.Gardner) J.Schust.	var.				798		botanical		
572	Cycas media x C. ophiolitica		species				572		botanical		
162	Cycas megacarpa	K.D.Hill	species				162		botanical		
163	Cycas micholitzii	Dyer	species				163		botanical		
690	Cycas micholitzii var. micholitzii		var.				690		botanical		
164	Cycas micholitzii var. simplicipinna	Smitinand	var.				164		botanical		
165	Cycas micronesica	K.D.Hill	species				165		botanical		
166	Cycas miquelii	Warb.	species				166		botanical		
167	Cycas montana	A.Lindstr. & K.D.Hill	species				167		botanical		
168	Cycas multifida	Hung T.Chang & Y.C.Zhong	species				168		botanical		
169	Cycas multifrondis	D.Yue Wang	species				169		botanical		
171	Cycas multiovula	D.Yue Wang	species				171		botanical		
170	Cycas multipinnata	C.J.Chen & S.Y.Yang	species				170		botanical		
172	Cycas nathorstii	J.Schust.	species				172		botanical		
674	Cycas nayagarhensis	Rita Singh, P.Radha & Khuraijam	species				674		botanical		
173	Cycas nitida	K.D.Hill & A.Lindstr.	species				173		botanical		
174	Cycas nongnoochiae	K.D.Hill	species				174		botanical		
175	Cycas normanbyana	F.Muell.	species				175		botanical		
176	Cycas ophiolitica	K.D.Hill	species				176		botanical		
177	Cycas orientis	K.D.Hill	species				177		botanical		
673	Cycas orixensis	(Haines) Rita Singh & Khuraijam	species				673		botanical		
178	Cycas pachypoda	K.D.Hill	species				178		botanical		
179	Cycas palmatifida	Hung T.Chang, Y.Y.Huang & Y.C.Zhong	species				179		botanical		
180	Cycas panzhihuaensis	L.Zhou & S.Y.Yang	species				180		botanical		
181	Cycas papuana	F.Muell.	species				181		botanical		
182	Cycas parvula	S.L.Yang	species				182		botanical		
183	Cycas pectinata	Buch.-Ham.	species				183		botanical		
185	Cycas pectinata subsp. manhaoensis	C.J.Chen & P.Yun	subsp.				185		botanical		
184	Cycas pectinata var. elongata	Leandri	var.				184		botanical		
691	Cycas pectinata var. pectinata		var.				691		botanical		
186	Cycas petraea	A.Lindstr. & K.D.Hill	species				186		botanical		
187	Cycas platyphylla	K.D.Hill	species				187		botanical		
188	Cycas pranburiensis	S.L.Yang, W.Tang, K.D.Hill & Vatch.	species				188		botanical		
189	Cycas pruinosa	Maconochie	species				189		botanical		
794	Cycas pschannae	R.C.Srivast. & L.J.Singh	species				794		botanical		
190	Cycas pygmaea	Blume	species				190		botanical	doubtful	
191	Cycas revoluta	Thunb.	species				191		botanical		
192	Cycas revoluta var. brevifrons	Miq.	var.				192		botanical		
193	Cycas revoluta var. planifolia	Miq.	var.				193		botanical		
194	Cycas revoluta var. prolifera	Siebold & Zucc.	var.				194		botanical		
692	Cycas revoluta var. revoluta		var.				692		botanical		
195	Cycas revoluta var. robusta	Messeri	var.				195		botanical		
741	Cycas revoluta var. taiwaniana	(Carruth.) J.Schust.	var.				741		botanical		
196	Cycas riuminiana	Porte ex Regel	species				196		botanical		
197	Cycas rumphii	Miq.	species				197		botanical		
693	Cycas rumphii f. rumphii		f.				693		botanical		
198	Cycas rumphii f. undulata	(Desf. ex Gaudich.) Kaneh.	f.				198		botanical		
799	Cycas rumphii subsp. normanbyana	(F.Muell.) J.Schust.	subsp.				799		botanical		
694	Cycas rumphii subsp. rumphii		subsp.				694		botanical		
199	Cycas rumphii subsp. zeylanica	J.Schust.	subsp.				199		botanical		
200	Cycas rumphii var. bifida	Dyer	var.				200		botanical		
695	Cycas rumphii var. rumphii		var.				695		botanical		
802	Cycas rumphii var. seemannii	(Regalado) Parham	var.				802		botanical		
201	Cycas rumphii var. timorensis	Miq.	var.				201		botanical		
595	Cycas sainathii	R.C.Srivast.	species				595		botanical		
202	Cycas sancti-lasallei	Agoo & Madulid	species				202		botanical		
203	Cycas saxatilis	K.D.Hill & A.Lindstr.	species				203		botanical		
204	Cycas schumanniana	Lauterb.	species				204		botanical		
205	Cycas scratchleyana	F.Muell.	species				205		botanical		
206	Cycas seemannii	Braun	species				206		botanical		
207	Cycas segmentifida	D.Yue Wang & C.Y.Deng	species				207		botanical		
208	Cycas semota	K.D.Hill	species				208		botanical		
209	Cycas septemsperma	Hung T.Chang, Y.Y.Huang & H.X.Zheng	species				209		botanical		
815	Cycas seshachalamensis	P.V.C.Rao, N.V.S.Prasad, P.M.Babu, K.Prassad & Prasanna	species				815		botanical		
210	Cycas sexseminifera	F.N.Wei	species				210		botanical		
211	Cycas shanyaensis	G.A.Fu	species				211		botanical		
212	Cycas shiwandashanica	Hung T.Chang & Y.C.Zhong	species				212		botanical		
213	Cycas siamensis	Miq.	species				213		botanical		
214	Cycas siamensis subsp. balansae	(Warb.) J.Schust.	subsp.				214		botanical		
696	Cycas siamensis subsp. siamensis		subsp.				696		botanical		
215	Cycas silvestris	K.D.Hill	species				215		botanical		
216	Cycas simplicipinna	(Smitinand) K.D.Hill	species				216		botanical		
217	Cycas sphaerica	Roxb.	species				217		botanical		
218	Cycas spiniformis	J.Y.Liang	species				218		botanical		
796	Cycas squarrosa	Lodd. ex G.Don	species				796		botanical	unavailable	
219	Cycas sundaica	Miq. ex A.Lindstr. & K.D.Hill	species				219		botanical		
220	Cycas swamyi	Rita Singh & P.Radha	species				220		botanical		
221	Cycas szechuanensis	W.C.Cheng & L.K.Fu	species				221		botanical		
222	Cycas szechuanensis subsp. fairylakea	(D.Yue Wang) N.Liu	subsp.				222		botanical		
577	Cycas szechuanensis subsp. szechuanensis		subsp.				577		botanical		
223	Cycas taitungensis	C.F.Shen, K.D.Hill, C.H.Tsou & C.J.Chen	species				223		botanical		
224	Cycas taiwaniana	Carruth.	species				224		botanical		
225	Cycas tanqingii	D.Yue Wang	species				225		botanical		
226	Cycas tansachana	K.D.Hill & S.L.Yang	species				226		botanical		
227	Cycas terryana	P.I.Forst.	species				227		botanical		
228	Cycas thouarsii	R.Br. ex Gaudich.	species				228		botanical		
229	Cycas tonkinensis	(L.Linden & Rodigas) Rodigas	species				229		botanical	doubtful	
230	Cycas tropophylla	K.D.Hill & P.K.Lôc	species				230		botanical		
231	Cycas truncata	de Laub.	species				231		botanical	illegitimate	
232	Cycas tuckeri	K.D.Hill	species				232		botanical		
233	Cycas undulata	Desf. ex Gaudich.	species				233		botanical		
234	Cycas vespertilio	A.Lindstr. & K.D.Hill	species				234		botanical		
235	Cycas wadei	Merr.	species				235		botanical		
236	Cycas wallichii	Miq.	species				236		botanical		
237	Cycas xilingensis	Hung T.Chang & Y.C.Zhong	species				237		botanical		
238	Cycas xipholepis	K.D.Hill	species				238		botanical		
239	Cycas yorkiana	K.D.Hill	species				239		botanical		
240	Cycas zambalensis	Madulid & Agoo	species				240		botanical		
241	Cycas zeylanica	(J.Schust.) A.Lindstr. & K.D.Hill	species				241		botanical		
243	Dioon aculeatum	Lem.	species				243		botanical		
244	Dioon angustifolium	Miq.	species				244		botanical		
245	Dioon argenteum	T.J.Greg., Chemnick, Salas-Mor. & Vovides	species				245		botanical		
246	Dioon califanoi	De Luca & Sabato	species				246		botanical		
247	Dioon caputoi	De Luca, Sabato & Vázq.Torres	species				247		botanical		
248	Dioon edule	Lindl.	species				248		botanical		
249	Dioon edule f. angustifolium	(Miq.) Miq.	f.				249		botanical		
697	Dioon edule f. edule		f.				697		botanical		
250	Dioon edule subsp. angustifolium	(Miq.) A.E.Murray	subsp.				250		botanical		
698	Dioon edule subsp. edule		subsp.				698		botanical		
251	Dioon edule var. angustifolium	(Miq.) Miq.	var.				251		botanical		
699	Dioon edule var. edule		var.				699		botanical		
252	Dioon edule var. lanuginosum	Wittm.	var.				252		botanical		
253	Dioon edule var. latipinnium	Dyer	var.				253		botanical		
254	Dioon edule var. sonorense	(De Luca, Sabato & Vázq.Torres) McVaugh & Pérez de la Rosa	var.				254		botanical		
255	Dioon holmgrenii	De Luca, Sabato & Vázq.Torres	species				255		botanical		
256	Dioon imbricatum	Miq.	species				256		botanical		
257	Dioon mejiae	Standl. & L.O.Williams	species				257		botanical		
258	Dioon merolae	De Luca, Sabato & Vázq.Torres	species				258		botanical		
740	Dioon planifolium	Salas-Mor., Chemnick & T.J.Greg.	species				740		botanical		
259	Dioon purpusii	Rose	species				259		botanical		
260	Dioon rzedowskii	De Luca, A.Moretti, Sabato & Vázq.Torres	species				260		botanical		
261	Dioon sonorense	(De Luca, Sabato & Vázq.Torres) Chemnick, T.J.Greg. & Salas-Mor.	species				261		botanical		
262	Dioon spinulosum	Dyer ex Eichler	species				262		botanical		
263	Dioon stevensonii	Nic.-Mor. & Vovides	species				263		botanical		
264	Dioon strobilaceum	Lem. ex A.DC.	species				264		botanical		
265	Dioon tomasellii	De Luca, Sabato & Vázq.Torres	species				265		botanical		
266	Dioon tomasellii var. sonorense	De Luca, Sabato & Vázq.Torres	var.				266		botanical		
700	Dioon tomasellii var. tomasellii		var.				700		botanical		
827	Dioon vovidesii	Gut.Ortega & Pérez-Farr.	species				827		botanical		
270	Dipsacozamia mexicana	Liebm. ex Dyer	species				270		botanical	unavailable	
269	Dyerocycas micholitzii	(Dyer) Nakai	species				269		botanical		
428	Encephalartos acanthus	Mast.	species				428		botanical		
271	Encephalartos aemulans	Vorster	species				271		botanical		
272	Encephalartos altensteinii	Lehm.	species				272		botanical		
701	Encephalartos altensteinii var. altensteinii		var.				701		botanical		
590	Encephalartos altensteinii var. angustifolius	Miq.	var.				590		botanical		
649	Encephalartos altensteinii var. bispinnus	J.M.Wood	var.				649		botanical		
612	Encephalartos altensteinii var. distans	Regel	var.				612		botanical		
636	Encephalartos altensteinii var. eriocephalus	de Vriese	var.				636		botanical		
619	Encephalartos altensteinii var. grandis	Regel	var.				619		botanical		
617	Encephalartos altensteinii var. macrophyllus	Regel	var.				617		botanical		
613	Encephalartos altensteinii var. parvifolius	Regel	var.				613		botanical		
611	Encephalartos altensteinii var. paucidentatus	Regel	var.				611		botanical		
591	Encephalartos altensteinii var. semidentatus	Miq.	var.				591		botanical		
618	Encephalartos altensteinii var. spinosior	Regel	var.				618		botanical		
273	Encephalartos aplanatus	Vorster	species				273		botanical		
274	Encephalartos arenarius	R.A.Dyer	species				274		botanical		
275	Encephalartos barteri	Carruth. ex Miq.	species				275		botanical		
276	Encephalartos barteri subsp. allochrous	L.E.Newton	subsp.				276		botanical		
578	Encephalartos barteri subsp. barteri		subsp.				578		botanical		
277	Encephalartos brachyphyllus	Lehm. & de Vriese	species				277		botanical		
278	Encephalartos brevifoliolatus	Vorster	species				278		botanical		
279	Encephalartos bubalinus	Melville	species				279		botanical		
280	Encephalartos caffer	(Thunb.) Lehm.	species				280		botanical		
625	Encephalartos caffer var. brachyphyllus	(Lehm. & de Vriese) Miq.	var.				625		botanical		
702	Encephalartos caffer var. caffer		var.				702		botanical		
609	Encephalartos caffer var. integrifolius	Regel	var.				609		botanical		
610	Encephalartos caffer var. unidentatus	Regel	var.				610		botanical		
281	Encephalartos cerinus	Lavranos & D.L.Goode	species				281		botanical		
282	Encephalartos chimanimaniensis	R.A.Dyer & I.Verd.	species				282		botanical		
283	Encephalartos concinnus	R.A.Dyer & I.Verd.	species				283		botanical		
284	Encephalartos cupidus	R.A.Dyer	species				284		botanical		
285	Encephalartos cycadifolius	(Jacq.) Lehm.	species				285		botanical		
703	Encephalartos cycadifolius var. cycadifolius		var.				703		botanical		
606	Encephalartos cycadifolius var. friderici-guilielmi	(Lehm.) Regel	var.				606		botanical		
607	Encephalartos cycadifolius var. glaber	Regel	var.				607		botanical		
624	Encephalartos cycadis	Sweet	species				624		botanical	unavailable	
286	Encephalartos delucanus	Malaisse, Sclavo & Crosiers	species				286		botanical		
601	Encephalartos denisonii	(C.Moore & F.Muell.) F.Muell.	species				601		botanical		
287	Encephalartos dolomiticus	Lavranos & D.L.Goode	species				287		botanical		
637	Encephalartos douglasii	F.Muell.	species				637		botanical	unavailable	
648	Encephalartos dyeri	F.Muell.	species				648		botanical		
288	Encephalartos dyerianus	Lavranos & D.L.Goode	species				288		botanical		
268	Encephalartos elongatus	Lehm.	species				268		botanical		
289	Encephalartos equatorialis	P.J.H.Hurter	species				289		botanical		
290	Encephalartos eugene-maraisii	I.Verd.	species				290		botanical		
642	Encephalartos eugene-maraisii subsp. eugene-maraisii		subsp.				642		botanical		
291	Encephalartos eugene-maraisii subsp. middelburgensis	Lavranos & D.L.Goode	subsp.				291		botanical		
292	Encephalartos eximius	I.Verd.	species				292		botanical		
293	Encephalartos ferox	G.Bertol	species				293		botanical		
659	Encephalartos ferox subsp. emersus	P.Rousseau, Vorster & A.E.van Wyk	subsp.				659		botanical		
658	Encephalartos ferox subsp. ferox		subsp.				658		botanical		
294	Encephalartos flavistrobilus	I.Turner & Sclavo	species				294		botanical		
596	Encephalartos fraseri	(Miq.) Miq.	species				596		botanical		
295	Encephalartos friderici-guilielmi	Lehm.	species				295		botanical		
296	Encephalartos ghellinckii	Lem.	species				296		botanical		
362	Encephalartos gracilis	Mast.	species				362		botanical		
297	Encephalartos graniticola	Vorster, Robbertse & S.van der Westh.	species				297		botanical		
298	Encephalartos gratus	Prain	species				298		botanical		
704	Encephalartos gratus var. gratus		var.				704		botanical		
638	Encephalartos gratus var. manikensis	Gilliland	var.				638		botanical		
299	Encephalartos heenanii	R.A.Dyer	species				299		botanical		
300	Encephalartos hildebrandtii	A.Braun & C.D.Bouché	species				300		botanical		
301	Encephalartos hildebrandtii var. dentatus	Melville	var.				301		botanical		
643	Encephalartos hildebrandtii var. hildebrandtii		var.				643		botanical		
302	Encephalartos hirsutus	P.J.H.Hurter	species				302		botanical		
303	Encephalartos horridus	(Jacq.) Lehm.	species				303		botanical		
633	Encephalartos horridus var. hallianus	(de Vriese) Miq.	var.				633		botanical		
705	Encephalartos horridus var. horridus		var.				705		botanical		
635	Encephalartos horridus var. lanuginosus	(Jacq.) Miq.	var.				635		botanical		
626	Encephalartos horridus var. latifrons	(Lehm.) J.Schust.	var.				626		botanical	illegitimate	
634	Encephalartos horridus var. latifrons	(Lehm.) Miq.	var.				634		botanical		
